,id,name_x,name_y,year,status,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,under_five_deaths,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,schooling
157,ESP,Spain,Spain,2013,Developed,82.4,6,1,9.25,423.680459,95,131,26.7,2,96,9.1,96,0.1,2921.9342,40548753,0.6,0.5,0.874,17.5
158,LKA,Sri Lanka,Sri Lanka,2013,Developing,74.6,142,3,2.56,41.62053588,99,2107,23,3,99,3.68,99,0.1,361.289374,21513990,15.2,15.1,0.757,13.8
159,SDN,Sudan,Sudan,2013,Developing,63.5,232,60,0.01,227.8353208,93,2813,25.2,88,93,8.42,93,0.3,1955.66799,41980182,,,0.478,7
160,SUR,Suriname,Suriname,2013,Developing,71.2,179,0,6.02,1122.972967,86,0,27.4,0,86,5.96,86,0.4,9484.56898,486618,3.5,3.5,0.719,12.7
161,SWZ,Swaziland,Swaziland,2013,Developing,57.6,393,2,0.01,708.9556648,98,0,26.5,3,98,9.66,98,9.8,3598.75972,1354051,4.5,4.6,0.539,11.4
162,SWE,Sweden,Sweden,2013,Developed,81.9,57,0,7.3,1212.666327,67,51,25.8,0,98,11.97,98,0.1,6283.24522,9074055,1.4,1.3,0.904,15.8
163,CHE,Switzerland,Switzerland,2013,Developed,83,52,0,9.73,19099.04506,0,175,25.3,0,96,11.71,96,0.1,84658.88768,7623438,0.4,0.3,0.934,15.8
164,TJK,Tajikistan,Tajikistan,2013,Developing,69.3,163,10,0.01,1.0419164,96,1,25.4,11,97,6.75,96,0.2,14.214412,7487489,3.6,3.7,0.617,11.2
165,TZA,Tanzania,United Republic of Tanzania,2013,Developing,59.7,323,86,4.2,0,91,185,23.1,124,91,5.57,91,2.1,970,41892895,6.8,6.7,,
166,THA,Thailand,Thailand,2013,Developing,74.5,153,9,6.5,788.6873403,99,2641,24.1,10,99,4,99,0.1,6171.262444,66404688,7.9,7.9,0.733,13.6
167,TLS,Timor-Leste,Timor-Leste,2013,Developing,67.7,158,2,0.01,3.379874844,82,4,24.6,2,82,1.29,82,0.1,117.765674,1154625,11.1,11.2,0.62,12.5
168,TGO,Togo,Togo,2013,Developing,59.4,287,14,0.01,48.73047089,84,564,23.2,20,84,5.12,84,1.5,579.43485,6199841,6.8,6.6,0.47,12
169,188,Tonga,Tonga,2013,Developing,73.2,137,0,0.01,584.9449886,82,0,31.9,0,84,4.98,82,0.1,4266.557174,15328,0.1,0.1,0.718,14.3
170,TTO,Trinidad and Tobago,Trinidad and Tobago,2013,Developing,71,172,0,6.71,167.2657906,92,0,28.7,0,94,5.98,92,0.3,1967.83283,1228691,5.8,6,0.773,12.7
171,TUN,Tunisia,Tunisia,2013,Developing,74.9,13,3,1.29,594.6453102,98,16,26.8,3,98,7.26,98,0.1,4199.47253,10589025,6.4,6.3,0.72,14.7
172,TUR,Turkey,Turkey,2013,Developing,75.2,19,17,1.41,188.1440348,97,7405,27.8,20,98,5.38,98,0.1,12542.93565,77804122,4.9,4.7,0.754,14.4
173,TKM,Turkmenistan,Turkmenistan,2013,Developing,65.4,228,7,2.93,63.7481117,98,0,26.4,8,98,2.12,98,0.1,734.42525,4940916,3.2,3.3,0.678,10.7
174,224,Tuvalu,Tuvalu,2013,Developing,66.2,,0,0.01,78.28120317,9,0,29.3,0,9,16.61,9,0.1,3542.13589,1819,0.2,0.1,,0
175,UGA,Uganda,Uganda,2013,Developing,67,325,71,0.01,90.76144414,78,7878,22,103,82,7.47,78,4,662.492293,33398682,5.7,5.7,0.478,10
176,UKR,Ukraine,Ukraine,2013,Developing,71,198,4,8.44,52.42529588,46,0,26,5,72,7.67,76,0.2,429.71554,45415596,2.3,2.4,0.744,15.2
177,ARE,United Arab Emirates,United Arab Emirates,2013,Developing,76.7,78,1,1.82,377.2009132,98,0,29,1,98,3.49,98,0.1,4335.64268,4975593,5.2,5,0.829,13.3
178,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,2013,Developed,87,72,3,10.32,0,0,1919,27.3,4,95,9.34,95,0.1,43401,61284806,0.8,0.5,,
179,USA,United States,United States of America,2013,Developed,78.9,16,23,8.82,0,91,187,28.5,27,93,16.9,94,0.1,53106,310232863,0.7,0.6,,
180,URY,Uruguay,Uruguay,2013,Developing,76.8,117,0,5.82,482.8039445,94,0,26.8,0,94,8.68,94,0.1,16881.2568,3510386,1.5,1.4,0.788,15.5
181,UZB,Uzbekistan,Uzbekistan,2013,Developing,69.1,185,17,0.01,19.1624696,99,0,26.1,19,99,6.32,99,0.1,197.551233,27865738,3,3.1,0.681,12
182,VUT,Vanuatu,Vanuatu,2013,Developing,71.6,135,0,0.01,447.545645,64,0,26.2,0,65,3.92,64,0.1,3167.34356,221552,1.5,1.4,0.591,10.8
183,VEN,Venezuela,Venezuela (Bolivarian Republic of),2013,Developing,73.8,159,9,6.71,0,82,0,27.2,10,82,4.94,82,0.1,12457.77,27223228,1.6,1.5,0.77,14.2
184,VNM,Vietnam,Viet Nam,2013,Developing,75.7,129,28,4,0,59,1123,21.6,35,93,7.17,59,0.1,1886.69,89571130,14.3,14.9,0.668,12.3
185,YEM,Yemen,Yemen,2013,Developing,65.4,226,36,0.04,0,73,400,25.8,46,67,5.78,73,0.1,1607.15,23495361,13.7,13.5,0.498,9
186,ZMB,Zambia,Zambia,2013,Developing,63,328,29,2.41,20.62306285,79,35,22.6,42,74,4.99,79,4.8,185.793359,12056923,6.4,6.2,0.565,12.5
187,ZWE,Zimbabwe,Zimbabwe,2013,Developing,58,399,25,6.39,10.66670728,95,0,23.4,36,95,6.88,95,6.8,111.227396,11651858,6.2,6,0.488,10.4
188,GRL,Greenland,Greenland,2013,,70.6,,,,,50,,26.2,,92,,91,,47536,,,,,
189,MAR,Morocco,Morocco,2013,,76.7,,,,,72,,25.6,,82,,52,,7446,,,,,
190,ABV,Somaliland,Somaliland,2013,,45,,,,,72,,20.2,,8,,83,,289.53,,,,,
191,SYR,Syria,Syria,2013,,72.7,,,,,70,,28.1,,92,,96,,1380,,,,,
192,MMR,Myanmar,Myanmar,2013,,67.1,,,,,68,,22.6,,94,,82,,1122,,,,,
192,ESH,Western Sahara,Western Sahara,2013,,76.7,,,,,72,,25.6,,82,,52,,7446,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100,,,,,,,,,,,,,,,
